"Approach","BBB_P","BBB_R","BBB_F1","MS_P","MS_R","MS_F1","TS_P","TS_R","TS_F1","Average_P","Average_R","Average_F1","w_Average_P","w_Average_R","w_Average_F1"
"ArDoCode","0.899 (large) [0.90, 0.92]","0.906 (large) [0.91, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.927 (large) [0.92, 1.00]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]"
"Sentence/None (No LLM)","0.899 (large) [0.90, 0.92]","0.906 (large) [0.91, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.927 (large) [0.92, 1.00]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.385 (moderate) [0.04, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]"
