Approach,SMOS_P,SMOS_R,SMOS_F1,SMOS_F2,eTour_P,eTour_R,eTour_F1,eTour_F2,iTrust_P,iTrust_R,iTrust_F1,iTrust_F2,Dronology_RE2Code_P,Dronology_RE2Code_R,Dronology_RE2Code_F1,Dronology_RE2Code_F2,Dronology_DD2Code_P,Dronology_DD2Code_R,Dronology_DD2Code_F1,Dronology_DD2Code_F2,Average_P,Average_R,Average_F1,Average_F2,w_Average_P,w_Average_R,w_Average_F1,w_Average_F2
VSM,0.43,0.414,0.422,0.41710403,0.557,0.427,0.483,0.447907721,0.208,0.227,0.217,0.22292729,0.844,0.087,0.158,0.106017904,0.846,0.071,0.131,0.086926194,0.577,0.2452,0.2822,0.256176628,0.608755705,0.246163758,0.283036913,0.25681797
LSI,0.415,0.43,0.422,0.426913876,0.452,0.453,0.453,0.452799646,0.251,0.255,0.253,0.254189833,0.333,0.107,0.162,0.123804726,0.757,0.074,0.135,0.090293359,0.4416,0.2638,0.285,0.269600288,0.471445638,0.261928859,0.285192617,0.26819
"Comet (Best, without Dronology)",0.195,0.572,0.290847458,0.4125,0.41,0.468,0.437084282,0.45512334,0.361,0.231,0.281726351,0.248928358,,,,,,,,,,,,,,,,
FTLR (Best),0.444,0.331,0.38,0.34875178,0.379,0.633,0.474124506,0.558182876,0.165,0.339,0.221964286,0.279954955,0.183,0.161,0.172,0.164966405,0.129,0.154,0.14,0.148253731,0.26,0.3236,0.277617758,0.300021949,0.279558389,0.284685906,0.272945011,0.276879811
FTLR (Opt),0.314,0.588,0.409,0.500629067,0.505,0.597,0.548,0.57601261,0.234,0.241,0.238,0.239566695,0.184,0.17,0.177,0.172626932,0.14,0.147,0.144,0.145544554,0.2754,0.3486,0.3032,0.326875972,0.256593289,0.361675839,0.29428255,0.328929224
