"Approach","SMOS_P","SMOS_R","SMOS_F1","SMOS_F2","eTour_P","eTour_R","eTour_F1","eTour_F2","iTrust_P","iTrust_R","iTrust_F1","iTrust_F2","Dronology_RE2Code_P","Dronology_RE2Code_R","Dronology_RE2Code_F1","Dronology_RE2Code_F2","Dronology_DD2Code_P","Dronology_DD2Code_R","Dronology_DD2Code_F1","Dronology_DD2Code_F2","Average_P","Average_R","Average_F1","Average_F2","w_Average_P","w_Average_R","w_Average_F1","w_Average_F2"
"VSM",0.0313,0.0355,0.0313,0.0313,0.0313,0.0335,0.0313,0.0313,0.0625,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0355,0.0313,0.0313
"LSI",0.0313,0.0355,0.0313,0.0313,0.0313,0.0335,0.0313,0.0313,0.0313,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0355,0.0313,0.0313
"Comet (Best, without Dronology)",0.0313,0.0355,0.0938,0.0313,0.0313,0.0335,0.0313,0.0313,0.0313,0.035,0.844,0.0313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FTLR (Best)",0.0313,0.0355,0.0313,0.0313,0.0313,0.0335,0.0313,0.0313,0.0313,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0355,0.0313,0.0313
"FTLR (Opt)",0.0313,0.0355,0.0313,0.0313,0.0313,0.0335,0.0313,0.0313,0.0313,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.035,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0355,0.438,0.0313
