"Approach","SMOS_P","SMOS_R","SMOS_F1","SMOS_F2","eTour_P","eTour_R","eTour_F1","eTour_F2","iTrust_P","iTrust_R","iTrust_F1","iTrust_F2","Dronology_RE2Code_P","Dronology_RE2Code_R","Dronology_RE2Code_F1","Dronology_RE2Code_F2","Dronology_DD2Code_P","Dronology_DD2Code_R","Dronology_DD2Code_F1","Dronology_DD2Code_F2","Average_P","Average_R","Average_F1","Average_F2","w_Average_P","w_Average_R","w_Average_F1","w_Average_F2"
"VSM","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.911 (large) [0.91, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.813 (large) [0.39, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.93]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]"
"LSI","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.93]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.911 (large) [0.91, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]"
"Comet (Best, without Dronology)","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.93]","0.728 (large) [0.13, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.911 (large) [0.91, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.128 (small) [0.04, 0.91]","0.899 (large) [0.90, 0.92]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FTLR (Best)","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.93]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.911 (large) [0.91, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.93]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]"
"FTLR (Opt)","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.93]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.911 (large) [0.91, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.904 (large) [0.90, 0.95]","0.899 (large) [0.90, 0.93]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.899 (large) [0.90, 0.92]","0.901 (large) [0.90, 0.93]","0.385 (moderate) [0.04, 0.91]","0.899 (large) [0.90, 0.92]"
