Approach,SMOS_P,SMOS_R,SMOS_F1,SMOS_F2,eTour_P,eTour_R,eTour_F1,eTour_F2,iTrust_P,iTrust_R,iTrust_F1,iTrust_F2,Dronology_RE2Code_P,Dronology_RE2Code_R,Dronology_RE2Code_F1,Dronology_RE2Code_F2,Dronology_DD2Code_P,Dronology_DD2Code_R,Dronology_DD2Code_F1,Dronology_DD2Code_F2,Average_P,Average_R,Average_F1,Average_F2,w_Average_P,w_Average_R,w_Average_F1,w_Average_F2
Original Run_No fixed Seed,0.589595376,0.195402299,0.29352518,0.22556391,0.40942029,0.733766234,0.525581395,0.633408072,0.199074074,0.451048951,0.276231263,0.359933036,0.225982533,0.343853821,0.272727273,0.311371841,0.176618479,0.37972973,0.241098241,0.308723358,0.32013815,0.420760207,0.32183267,0.367800043,0.357487707,0.351342282,0.298629535,0.318597446
35418170,0.595166163,0.188697318,0.286545455,0.218548924,0.399638336,0.717532468,0.513356562,0.619047619,0.205651491,0.458041958,0.283856988,0.367770915,0.222099448,0.333887043,0.266755143,0.303350438,0.180151707,0.385135135,0.245478036,0.313738441,0.320541429,0.416658784,0.319198437,0.364491267,0.35915253,0.347315436,0.295533798,0.315032763
83939039,0.595744681,0.187739464,0.285506191,0.217536071,0.397868561,0.727272727,0.51435132,0.623955432,0.206299213,0.458041958,0.284473398,0.368184373,0.223568282,0.337209302,0.268874172,0.306091677,0.18106206,0.382432432,0.245766392,0.312845457,0.320908559,0.418539177,0.319794295,0.365722602,0.359757238,0.347986577,0.295831357,0.315556876
133742243,0.601823708,0.189655172,0.288419519,0.219755827,0.392982456,0.727272727,0.510250569,0.621531632,0.2015625,0.451048951,0.278617711,0.361547085,0.220283533,0.335548173,0.26596445,0.303759398,0.176620076,0.375675676,0.240276577,0.306572563,0.318654455,0.41584014,0.316705765,0.362633301,0.359160727,0.345973154,0.293915129,0.31341817
-102959883,0.581602374,0.187739464,0.283852281,0.217150454,0.402135231,0.733766234,0.51954023,0.629877369,0.205696203,0.454545455,0.283224401,0.365990991,0.213581599,0.323920266,0.257425743,0.293586269,0.180369662,0.382432432,0.245127761,0.312431,0.316677014,0.41648077,0.317834083,0.363807217,0.352996415,0.345637584,0.293197044,0.313194162
-294857830,0.585365854,0.183908046,0.279883382,0.213143872,0.40647482,0.733766234,0.523148148,0.631991051,0.209191759,0.461538462,0.287895311,0.371830986,0.220264317,0.332225914,0.264900662,0.301568154,0.180243746,0.37972973,0.24445411,0.310909493,0.320308099,0.418233677,0.320056323,0.365888711,0.356417627,0.345973154,0.29397053,0.313804081
